Group,ImageSet,File,Category,allsubjects_valence_mean,allsubjects_valence_sd,allsubjects_arousal_mean,allsubjects_arousal_sd,allsubjects_craving_mean,allsubjects_craving_sd,allsubjects_typicality_mean,allsubjects_typicality_sd,allsubjects_FractionNeither,allsubjects_FractionMeth,allsubjects_FractionOpioid,allsubjects_FractionBoth,allsubjects_MethToOpioid,injectionusers_valence_mean,injectionusers_valence_sd,injectionusers_arousal_mean,injectionusers_arousal_sd,injectionusers_craving_mean,injectionusers_craving_sd,injectionusers_typicality_mean,injectionusers_typicality_sd,injectionusers_FractionNeither,injectionusers_FractionMeth,injectionusers_FractionOpioid,injectionusers_FractionBoth,injectionusers_MethToOpioid,noninjectionusers_valence_mean,noninjectionusers_valence_sd,noninjectionusers_arousal_mean,noninjectionusers_arousal_sd,noninjectionusers_craving_mean,noninjectionusers_craving_sd,noninjectionusers_typicality_mean,noninjectionusers_typicality_sd,noninjectionusers_FractionNeither,noninjectionusers_FractionMeth,noninjectionusers_FractionOpioid,noninjectionusers_FractionBoth,noninjectionusers_MethToOpioid,hue_mean,hue_sd,saturation_mean,saturation_sd,value_mean,value_sd,p_cravingdelta_injectionVnon,selection_cost,category_number,selected,in_set,IAPS,desc,valsd,arosd,dom1mn,dom1sd,dom2mn,dom2sd,set,rajita_used,possible_option,selection_group
opioid Slide099.jpeg,opioid,Slide099.jpeg,opioid_injection_hand,4.15,1.68,4.33,2.5,84.85,20.77,85.7,20.47,0.03704,0.11111,0.14815,0.7037,0.03704,4.35,1.631,4.5,2.44,84.55,21.79,84.2,21.52,0.05,0.05,0.2,0.7,0.15,3.57,1.813,3.86,2.79,85.71,19.13,90,17.92,0,0.28571,0,0.7143,-0.28571,0.107,0.217,0.283,0.176,0.508,0.24,0.89599,0.276002,5,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide084.jpeg,opioid,Slide084.jpeg,opioid_instrument_hand,4.52,1.929,4.56,2.89,91.07,13.76,89.93,16.45,0,0.14815,0.44444,0.40741,0.2963,4.85,1.785,4.9,2.77,90.9,15.19,89,18.68,0,0.1,0.45,0.45,0.35,3.57,2.149,3.57,3.21,91.57,9.48,92.57,7.57,0,0.28571,0.42857,0.2857,0.14286,0.244,0.22,0.277,0.168,0.555,0.242,0.89342,0.27849,4,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide061.jpeg,opioid,Slide061.jpeg,opioid_injection_instrument,4.44,2.006,4.74,2.75,86.93,17.4,87.19,16.99,0.03704,0.14815,0.40741,0.40741,0.25926,4.55,1.932,4.9,2.65,85.2,19.61,85.25,19.18,0.05,0.1,0.35,0.5,0.25,4.14,2.34,4.29,3.2,91.86,7.47,92.71,6.1,0,0.28571,0.57143,0.1429,0.28571,0.179,0.179,0.333,0.195,0.249,0.213,0.21377,0.281531,3,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide050.jpeg,opioid,Slide050.jpeg,opioid_injection_instrument,4.41,1.803,4.56,2.49,88.56,15.7,89.67,15.85,0,0,0.77778,0.22222,0.77778,4.65,1.814,4.85,2.43,90.85,14.31,90.4,15.69,0,0,0.8,0.2,0.8,3.71,1.704,3.71,2.63,82,18.75,87.57,17.37,0,0,0.71429,0.2857,0.71429,0.125,0.15,0.291,0.346,0.349,0.294,0.2859,0.287507,3,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide006.jpeg,opioid,Slide006.jpeg,opioid,4.75,1.456,4.46,2.56,84.43,21.1,88.96,18.55,0,0.39286,0.17857,0.42857,-0.21429,4.95,1.244,4.76,2.39,82.52,23.17,87.71,20.87,0,0.42857,0.14286,0.42857,-0.28571,4.14,1.952,3.57,3.05,90.14,12.75,92.71,8.65,0,0.28571,0.28571,0.4286,0,0.483,0.26,0.383,0.184,0.296,0.259,0.28865,0.295594,1,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide037.jpeg,opioid,Slide037.jpeg,opioid_injection_instrument,4.5,2.082,4.93,2.92,93.54,10.95,95.11,9.59,0,0.25,0.14286,0.60714,-0.10714,4.67,1.983,5.24,2.74,92.57,12.35,94.57,10.91,0,0.2381,0.09524,0.66667,-0.14286,4,2.449,4,3.46,96.43,4.24,96.71,3.64,0,0.28571,0.28571,0.4286,0,0.21,0.162,0.256,0.223,0.46,0.181,0.22955,0.297636,3,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide102.jpeg,opioid,Slide102.jpeg,opioid_face_activities,4.63,1.944,4.78,2.59,89.93,13.6,89.63,14.37,0,0.11111,0.11111,0.77778,0,4.55,1.849,5,2.45,89.45,15.16,88.4,16.28,0,0.05,0.15,0.8,0.1,4.86,2.34,4.14,3.08,91.29,8.46,93.14,5.98,0,0.28571,0,0.7143,-0.28571,0.278,0.328,0.271,0.119,0.615,0.19,0.69791,0.29915,6,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide042.jpeg,opioid,Slide042.jpeg,opioid_injection_instrument,4.56,1.908,4.63,2.68,86.85,18.07,85.93,18.9,0,0,0.88889,0.11111,0.88889,4.85,1.927,4.9,2.65,87.05,18.57,85.8,19.78,0,0,0.9,0.1,0.9,3.71,1.704,3.86,2.79,86.29,17.93,86.29,17.56,0,0,0.85714,0.1429,0.85714,0.222,0.313,0.266,0.385,0.382,0.32,0.92515,0.299564,3,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide013.jpeg,opioid,Slide013.jpeg,opioid,4.82,1.806,4.36,2.77,85.86,22.18,86.68,23.16,0.03571,0,0.57143,0.39286,0.57143,4.9,1.758,4.71,2.72,84.52,24.21,84.05,25.97,0.04762,0,0.61905,0.33333,0.61905,4.57,2.07,3.29,2.81,89.86,15.31,94.57,8.28,0,0,0.42857,0.5714,0.42857,0.502,0.205,0.34,0.273,0.433,0.325,0.50545,0.307293,1,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide117.jpeg,opioid,Slide117.jpeg,opioid_face_activities,4.33,2,4.78,2.62,88.3,15.23,86.93,16.59,0,0.11111,0,0.88889,-0.11111,4.45,2.012,5,2.51,87.6,16.39,86.6,18.15,0,0.05,0,0.95,-0.05,4,2.082,4.14,3.02,90.29,12.13,87.86,12.16,0,0.28571,0,0.7143,-0.28571,0.284,0.277,0.251,0.171,0.475,0.305,0.65425,0.309082,6,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide074.jpeg,control,Slide074.jpeg,control_tool_hand_simple,4.93,1.207,2.74,2.1,13.15,22.99,19.3,28.86,0.92593,0,0.03704,0.03704,0.03704,4.8,1.322,2.45,1.93,10.4,20.32,18.5,28.77,1,0,0,0,0,5.29,0.756,3.57,2.51,21,29.75,21.57,31.29,0.71429,0,0.14286,0.1429,0.14286,0.567,0.312,0.608,0.288,0.142,0.25,0.40749,0.309717,4,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide022.jpeg,opioid,Slide022.jpeg,opioid_hand,4.85,1.725,4.37,2.79,77.11,27.45,74.74,29.03,0.14815,0,0.77778,0.07407,0.77778,4.9,1.651,4.5,2.78,82.25,24.07,77.9,27.23,0.15,0,0.75,0.1,0.75,4.71,2.059,4,3,62.43,33.04,65.71,34.31,0.14286,0,0.85714,0,0.85714,0.132,0.263,0.321,0.171,0.776,0.125,0.18151,0.310241,2,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide086.jpeg,opioid,Slide086.jpeg,opioid_instrument_hand,4.39,1.812,4.57,2.82,93.93,11.7,93.93,11.45,0,0.10714,0.42857,0.46429,0.32143,4.62,1.717,4.86,2.73,93.86,13.09,93.67,12.65,0,0.04762,0.52381,0.42857,0.47619,3.71,2.059,3.71,3.15,94.14,6.67,94.71,7.48,0,0.28571,0.14286,0.5714,-0.14286,0.18,0.194,0.269,0.164,0.326,0.23,0.94094,0.312637,4,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide095.jpeg,opioid,Slide095.jpeg,opioid_injection_hand,3.85,2.107,4.81,2.57,88,17.9,89.59,15.94,0,0.03704,0.74074,0.22222,0.7037,4.05,2.012,5.3,2.36,88.1,18.41,88.75,17.88,0,0,0.75,0.25,0.75,3.29,2.43,3.43,2.82,87.71,17.75,92,8.93,0,0.14286,0.71429,0.1429,0.57143,0.302,0.37,0.242,0.175,0.588,0.385,0.9618,0.329512,5,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide104.jpeg,control,Slide104.jpeg,control_tool_face,4.85,1.231,2.52,1.95,9.33,17.69,11.26,17.49,1,0,0,0,0,4.8,1.436,2.45,1.93,8.65,18.01,10.2,17.58,1,0,0,0,0,5,0,2.71,2.14,11.29,17.98,14.29,18.21,1,0,0,0,0,0.088,0.065,0.522,0.222,0.621,0.241,0.74517,0.340469,6,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide101.jpeg,opioid,Slide101.jpeg,opioid_face_activities,4.04,2.099,4.93,2.75,88.86,22.33,90.39,16.41,0,0.10714,0.17857,0.71429,0.07143,4.29,2.004,5.38,2.5,87.1,25.41,90.52,16.17,0,0.04762,0.19048,0.7619,0.14286,3.29,2.36,3.57,3.21,94.14,6.94,90,18.42,0,0.28571,0.14286,0.5714,-0.14286,0.152,0.213,0.22,0.239,0.445,0.303,0.26117,0.341729,6,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide077.jpeg,opioid,Slide077.jpeg,opioid_instrument_hand,4.5,1.895,4.79,2.71,91.61,14.5,94.32,10.05,0,0.07143,0.35714,0.57143,0.28571,4.62,1.774,5.14,2.54,91.29,15.78,94,11.43,0,0,0.38095,0.61905,0.38095,4.14,2.34,3.71,3.15,92.57,10.74,95.29,4.15,0,0.28571,0.28571,0.4286,0,0.273,0.355,0.235,0.229,0.366,0.325,0.81229,0.34251,4,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide089.jpeg,opioid,Slide089.jpeg,opioid_injection_hand,4.22,2.006,4.78,2.67,90,15.4,89.85,16.26,0,0.11111,0.18519,0.7037,0.07407,4.4,2.113,5.1,2.61,90.6,14.75,90.15,16.16,0,0.05,0.2,0.75,0.15,3.71,1.704,3.86,2.79,88.29,18.28,89,17.82,0,0.28571,0.14286,0.5714,-0.14286,0.24,0.31,0.215,0.175,0.487,0.34,0.76941,0.343994,5,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide058.jpeg,opioid,Slide058.jpeg,opioid_injection_instrument,4.46,2.027,4.86,2.93,93.96,10.81,94.79,10.28,0,0.10714,0.25,0.64286,0.14286,4.57,1.964,5.19,2.8,94.43,11.59,94.71,11.35,0,0.04762,0.2381,0.71429,0.19048,4.14,2.34,3.86,3.29,92.57,8.66,95,6.81,0,0.28571,0.28571,0.4286,0,0.565,0.141,0.4,0.206,0.253,0.227,0.66036,0.354234,3,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide074.jpeg,opioid,Slide074.jpeg,opioid_instrument_hand,4.56,1.805,4.81,2.6,85.44,22.66,88.37,16.86,0,0.07407,0.7037,0.22222,0.62963,4.6,1.818,4.8,2.59,90.25,15.26,89.2,17.24,0,0,0.85,0.15,0.85,4.43,1.902,4.86,2.85,71.71,34.5,86,16.77,0,0.28571,0.28571,0.4286,0,0.393,0.384,0.24,0.152,0.584,0.237,0.21243,0.357905,4,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide097.jpeg,control,Slide097.jpeg,control_tool_hand_complex,4.64,1.521,2.11,1.73,6.89,15.39,8.61,15.55,1,0,0,0,0,4.81,1.537,2.05,1.72,8.1,17.62,10.62,17.53,1,0,0,0,0,4.14,1.464,2.29,1.89,3.29,3.25,2.57,2.82,1,0,0,0,0,0.152,0.268,0.455,0.197,0.479,0.277,0.24532,0.35897,5,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide110.jpeg,opioid,Slide110.jpeg,opioid_face_activities,4.43,1.731,4.75,2.73,89.75,20.56,91.5,20.28,0,0.14286,0.35714,0.5,0.21429,4.67,1.713,5.14,2.61,89.19,23.15,89.95,23.22,0,0.09524,0.47619,0.42857,0.38095,3.71,1.704,3.57,2.94,91.43,10.53,96.14,4.56,0,0.28571,0,0.7143,-0.28571,0.18,0.309,0.229,0.197,0.319,0.162,0.73105,0.359202,6,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide078.jpeg,opioid,Slide078.jpeg,opioid_instrument_hand,4.41,1.866,4.93,2.57,85.67,18.3,86.93,18.49,0,0.37037,0.22222,0.40741,-0.14815,4.55,1.82,4.95,2.54,86.25,19.04,87.5,19.3,0,0.35,0.15,0.5,-0.2,4,2.082,4.86,2.85,84,17.29,85.29,17.27,0,0.42857,0.42857,0.1429,0,0.442,0.275,0.267,0.132,0.349,0.269,0.77812,0.365454,4,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide094.jpeg,opioid,Slide094.jpeg,opioid_injection_hand,3.86,2.206,4.82,2.91,92.82,12.11,93.82,10.97,0,0.10714,0.14286,0.75,0.03571,3.86,2.265,5.19,2.82,92.86,12.75,93.71,12.27,0,0.04762,0.19048,0.7619,0.14286,3.86,2.193,3.71,3.09,92.71,10.84,94.14,6.31,0,0.28571,0,0.7143,-0.28571,0.181,0.309,0.221,0.201,0.317,0.249,0.97747,0.369091,5,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide027.jpeg,opioid,Slide027.jpeg,opioid_hand,4.41,1.623,4.41,2.61,85.85,17.04,85.85,19.07,0,0.37037,0.2963,0.33333,-0.07407,4.45,1.432,4.45,2.46,84.5,18.78,83.85,21.39,0,0.4,0.25,0.35,-0.15,4.29,2.215,4.29,3.2,89.71,10.86,91.57,8.62,0,0.28571,0.42857,0.2857,0.14286,0.468,0.328,0.275,0.129,0.352,0.235,0.38586,0.369353,2,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide081.jpeg,opioid,Slide081.jpeg,opioid_instrument_hand,4.46,2.117,4.46,2.96,90.57,14.83,90.07,17.13,0,0.10714,0.42857,0.46429,0.32143,4.76,1.868,4.71,2.83,89.76,16.06,90.62,15.39,0,0,0.47619,0.52381,0.47619,3.57,2.699,3.71,3.45,93,10.97,88.43,22.96,0,0.42857,0.28571,0.2857,-0.14286,0.274,0.283,0.221,0.187,0.329,0.313,0.55961,0.369958,4,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide090.jpeg,opioid,Slide090.jpeg,opioid_injection_hand,4.3,2.072,4.67,2.88,87.52,18.3,88.89,17.57,0,0.03704,0.14815,0.81481,0.11111,4.45,2.235,5,2.96,87.95,18.74,89.5,17.9,0,0,0.15,0.85,0.15,3.86,1.574,3.71,2.63,86.29,18.34,87.14,17.84,0,0.14286,0.14286,0.7143,0,0.145,0.172,0.244,0.122,0.744,0.206,0.84104,0.371697,5,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide116.jpeg,control,Slide116.jpeg,control_tool_face,4.89,1.281,2.93,2.11,16.56,28.49,20.26,26.36,0.96296,0.03704,0,0,-0.03704,5,1.338,3.05,2.24,18.3,31.61,19.8,28.25,0.95,0.05,0,0,-0.05,4.57,1.134,2.57,1.81,11.57,17.71,21.57,21.94,1,0,0,0,0,0.331,0.323,0.393,0.308,0.47,0.271,0.4977,0.37411,6,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide097.jpeg,opioid,Slide097.jpeg,opioid_injection_hand,4.43,2.098,4.61,2.83,93.86,10.92,92.07,20.61,0.03571,0.14286,0,0.82143,-0.14286,4.57,2.014,4.86,2.71,92.9,12.34,90.14,23.57,0.04762,0.09524,0,0.85714,-0.09524,4,2.449,3.86,3.29,96.71,4.03,97.86,2.85,0,0.28571,0,0.7143,-0.28571,0.625,0.307,0.36,0.304,0.49,0.39,0.22923,0.374325,5,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide026.jpeg,opioid,Slide026.jpeg,opioid_hand,4.79,1.75,4.57,2.7,87.46,14.46,91.82,11.48,0,0.03571,0.96429,0,0.92857,4.95,1.596,4.9,2.57,86.48,15.71,90.71,12.96,0,0.04762,0.95238,0,0.90476,4.29,2.215,3.57,3.05,90.43,10.26,95.14,3.98,0,0,1,0,1,0.299,0.405,0.214,0.133,0.352,0.297,0.45616,0.375101,2,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide088.jpeg,opioid,Slide088.jpeg,opioid_instrument_hand,4.22,1.805,4.7,2.57,89.67,14.45,88.33,16.36,0,0.07407,0.62963,0.2963,0.55556,4.3,1.75,4.85,2.39,89.45,15.89,87.85,18.24,0,0,0.75,0.25,0.75,4,2.082,4.29,3.2,90.29,10.23,89.71,10.16,0,0.28571,0.28571,0.4286,0,0.116,0.194,0.194,0.189,0.588,0.201,0.87543,0.382036,4,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide096.jpeg,opioid,Slide096.jpeg,opioid_injection_hand,4.11,2.043,4.86,2.8,89.46,21.55,92.75,13.34,0,0.14286,0.21429,0.64286,0.07143,4.33,1.958,5.43,2.52,91.76,15.89,91.76,15.11,0,0.09524,0.2381,0.66667,0.14286,3.43,2.299,3.14,3.08,82.57,34.28,95.71,5.09,0,0.28571,0.14286,0.5714,-0.14286,0.32,0.277,0.193,0.138,0.467,0.242,0.51565,0.383938,5,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide010.jpeg,control,Slide010.jpeg,control_objects,4.96,1.372,2.63,1.96,13,19.87,12,19.4,0.96296,0,0,0.03704,0,4.8,1.436,2.55,1.99,10.8,18.86,9.6,18.16,0.95,0,0,0.05,0,5.43,1.134,2.86,2.04,19.29,22.87,18.86,22.65,1,0,0,0,0,0.414,0.338,0.447,0.342,0.212,0.271,0.40044,0.388949,1,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide029.jpeg,opioid,Slide029.jpeg,opioid_hand,4.71,1.823,4.75,2.78,90.57,16.41,91.04,16.1,0.03571,0.57143,0.14286,0.25,-0.42857,4.81,1.692,4.9,2.7,90.71,16.25,91.33,15.82,0,0.61905,0.09524,0.28571,-0.52381,4.43,2.299,4.29,3.2,90.14,18.19,90.14,18.22,0.14286,0.42857,0.28571,0.1429,-0.14286,0.065,0.194,0.213,0.229,0.336,0.312,0.94266,0.38969,2,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide068.jpeg,opioid,Slide068.jpeg,opioid_injection_instrument,4.14,1.957,4.79,2.71,93.54,10.03,93.79,9.19,0,0.07143,0.5,0.42857,0.42857,4.19,1.834,5.1,2.7,94.76,8.02,93.76,9.8,0,0,0.61905,0.38095,0.61905,4,2.449,3.86,2.73,89.86,14.75,93.86,7.76,0,0.28571,0.14286,0.5714,-0.14286,0.532,0.293,0.275,0.273,0.426,0.346,0.42808,0.391325,3,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide094.jpeg,control,Slide094.jpeg,control_tool_hand_complex,5.14,1.976,2.39,2.25,10.5,21.78,11.82,21.87,0.92857,0.03571,0,0.03571,-0.03571,5,2.121,1.95,1.66,6.33,15.41,8.1,15.68,0.95238,0,0,0.04762,0,5.57,1.512,3.71,3.3,23,33.17,23,33.73,0.85714,0.14286,0,0,-0.14286,0.107,0.088,0.479,0.301,0.69,0.278,0.24061,0.39339,5,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide073.jpeg,opioid,Slide073.jpeg,opioid_instrument_hand,4.07,2.071,4.64,2.79,91.32,20.15,92.57,19.67,0,0.07143,0.42857,0.5,0.35714,4.24,1.947,4.9,2.64,90.48,22.6,90.81,22.54,0,0,0.52381,0.47619,0.52381,3.57,2.507,3.86,3.29,93.86,10.75,97.86,2.19,0,0.28571,0.14286,0.5714,-0.14286,0.21,0.321,0.182,0.185,0.612,0.2,0.6019,0.394568,4,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide071.jpeg,opioid,Slide071.jpeg,opioid_instrument_hand,4.15,1.975,4.74,2.63,89.44,15.19,88.96,16.29,0.03704,0.03704,0.33333,0.59259,0.2963,4.1,1.944,4.9,2.47,88.75,17.02,87.35,18.41,0,0,0.35,0.65,0.35,4.29,2.215,4.29,3.2,91.43,8.73,93.57,6.58,0.14286,0.14286,0.28571,0.4286,0.14286,0.115,0.137,0.178,0.123,0.592,0.228,0.60052,0.402573,4,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide051.jpeg,opioid,Slide051.jpeg,opioid_injection_instrument,4.39,1.95,4.57,2.85,86.04,23.07,88.86,21.07,0,0,0.28571,0.71429,0.28571,4.52,1.94,4.95,2.84,84.52,25.68,86.52,23.93,0,0,0.28571,0.71429,0.28571,4,2.082,3.43,2.76,90.57,12.8,95.86,3.63,0,0,0.28571,0.7143,0.28571,0.225,0.216,0.244,0.212,0.193,0.287,0.42312,0.40401,3,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide003.jpeg,control,Slide003.jpeg,control_objects,4.96,1.478,2.68,2.11,13.5,26.65,14.57,26.98,0.92857,0,0.03571,0.03571,0.03571,4.81,1.569,2.48,1.89,9.33,17.88,9.86,17.92,0.95238,0,0,0.04762,0,5.43,1.134,3.29,2.75,26,43.43,28.71,43.51,0.85714,0,0.14286,0,0.14286,0.182,0.275,0.394,0.247,0.529,0.135,0.35759,0.415601,1,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide045.jpeg,opioid,Slide045.jpeg,opioid_injection_instrument,4.52,1.847,4.67,2.67,83.15,20.98,84.89,20.77,0,0,0.59259,0.40741,0.59259,4.75,1.916,5,2.68,85.55,20.65,86.05,20.79,0,0,0.6,0.4,0.6,3.86,1.574,3.71,2.63,76.29,21.95,81.57,22,0,0,0.57143,0.4286,0.57143,0.164,0.281,0.18,0.115,0.318,0.262,0.35229,0.41882,3,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide021.jpeg,opioid,Slide021.jpeg,opioid_hand,4.82,1.906,4.64,2.72,84.75,18.32,88.75,17.04,0,0,0.96429,0.03571,0.96429,4.9,1.972,5,2.68,82.95,20.07,86.76,19.2,0,0,0.95238,0.04762,0.95238,4.57,1.813,3.57,2.76,90.14,11.08,94.71,4.86,0,0,1,0,1,0.241,0.4,0.216,0.268,0.789,0.245,0.24979,0.426258,2,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide098.jpeg,control,Slide098.jpeg,control_tool_hand_complex,4.79,1.792,2.21,1.75,5.54,13.07,6.61,13.24,1,0,0,0,0,4.86,1.982,2.19,1.75,5.9,14.83,7.14,15.11,1,0,0,0,0,4.57,1.134,2.29,1.89,4.43,5.77,5,4.83,1,0,0,0,0,0.355,0.282,0.349,0.248,0.578,0.252,0.70843,0.43191,5,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide098.jpeg,opioid,Slide098.jpeg,opioid_injection_hand,4.29,2.123,5.18,2.51,90.79,15.16,92.07,14.02,0,0,0.64286,0.35714,0.64286,4.38,2.179,5.52,2.48,91.19,15.99,91.76,15.39,0,0,0.66667,0.33333,0.66667,4,2.082,4.14,2.48,89.57,13.39,93,9.66,0,0,0.57143,0.4286,0.57143,0.176,0.211,0.14,0.107,0.449,0.259,0.79665,0.438777,5,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide031.jpeg,control,Slide031.jpeg,control_objects_hand,4.82,2.056,2.25,1.96,11.71,23.19,9.07,14.86,1,0,0,0,0,4.62,2.269,2.1,1.84,6.81,14.85,9.95,16.64,1,0,0,0,0,5.43,1.134,2.71,2.36,26.43,36.7,6.43,7.72,1,0,0,0,0,0.068,0.106,0.437,0.124,0.623,0.186,0.21285,0.442322,2,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide102.jpeg,control,Slide102.jpeg,control_tool_face,4.78,1.155,2.89,2.24,11.96,19.53,15.07,21.05,0.96296,0.03704,0,0,-0.03704,4.7,1.342,2.95,2.33,11.6,20.01,15.55,22.38,0.95,0.05,0,0,-0.05,5,0,2.71,2.14,13,19.59,13.71,18.17,1,0,0,0,0,0.197,0.264,0.412,0.306,0.263,0.241,0.87443,0.443122,6,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide090.jpeg,control,Slide090.jpeg,control_tool_hand_complex,4.89,1.05,2.52,1.95,10.07,18.05,10.74,17.92,1,0,0,0,0,4.85,1.226,2.45,1.93,8.45,17.98,9.45,17.89,1,0,0,0,0,5,0,2.71,2.14,14.71,18.83,14.43,18.9,1,0,0,0,0,0.298,0.225,0.338,0.203,0.532,0.316,0.46098,0.449672,5,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide072.jpeg,opioid,Slide072.jpeg,opioid_instrument_hand,4.3,1.564,4.41,2.37,81.33,21.15,82.15,21.16,0.03704,0.07407,0.14815,0.74074,0.07407,4.45,1.572,4.65,2.3,79.8,22.17,79.85,22.15,0.05,0,0.2,0.75,0.2,3.86,1.574,3.71,2.63,85.71,18.78,88.71,17.82,0,0.28571,0,0.7143,-0.28571,0.369,0.35,0.188,0.301,0.733,0.143,0.50708,0.457394,4,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide079.jpeg,opioid,Slide079.jpeg,opioid_instrument_hand,4.56,2.044,4.85,2.76,90.37,13.36,92.7,11.97,0,0.11111,0.62963,0.25926,0.51852,4.65,2.033,5.1,2.69,90.9,14.1,92.4,13.53,0,0.05,0.7,0.25,0.65,4.29,2.215,4.14,3.02,88.86,11.84,93.57,6.37,0,0.28571,0.42857,0.2857,0.14286,0.235,0.308,0.165,0.216,0.269,0.297,0.71528,0.457811,4,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide028.jpeg,control,Slide028.jpeg,control_objects_hand,4.96,0.98,2.67,2.15,13.15,24,14.07,23.86,0.96296,0,0.03704,0,0.03704,4.8,0.894,2.65,1.98,13,21.94,13.6,21.63,1,0,0,0,0,5.43,1.134,2.71,2.75,13.57,31.16,15.43,31.34,0.85714,0,0.14286,0,0.14286,0.136,0.206,0.481,0.173,0.849,0.139,0.96535,0.460858,2,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
